"Story","Title","Result","Date","Stability","Duration (s)"
"Vaccination Bookings","Update vaccination booking's status","ERROR","2022-07-19T12:03:39.8488201+07:00[Asia/Jakarta]","0.0","72.28"
"Vaccine Stock","Update Vaccination Stock","ERROR","2022-07-19T12:04:52.251293+07:00[Asia/Jakarta]","0.0","19.11"
